date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:47:06	218116/218116	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Mar%202023%2020:13:57%20GMT	https://fatfish.ca/wp-content/uploads/2022/10/comairco-0108-2048x1365.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/10/comairco-0108-2048x1365.jpg	(from https://fatfish.ca/en/)
00:47:06	199787/199787	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2015:51:53%20GMT	https://fatfish.ca/en/projects/awa-all-weather-air/	D:/Wenoxo/New%20folder/fishh/fatfish.ca/en/projects/awa-all-weather-air/index.html	(from https://fatfish.ca/en/)
00:47:07	0/0	---M--	403	error ('Forbidden')	text/html	date:Tue,%2001%20Aug%202023%2019:17:07%20GMT	https://fatfish.ca/en/projects/?expertise=branding	D:/Wenoxo/New%20folder/fishh/fatfish.ca/en/projects/index1420.html	(from https://fatfish.ca/en/)
00:47:07	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:07%20GMT	https:////fatfish.ca//wp-content//uploads//2022//11//xl-368ef870-b2cd-4ec9-a01e-fc1c88a9263d-600x338.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/xl-368ef870-b2cd-4ec9-a01e-fc1c88a9263d-600x338.a.delayed	(from https://fatfish.ca/en/)
00:47:08	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:08%20GMT	https:////fatfish.ca//wp-content//uploads//2022//09//camilo-jimenez-qzeno_gq7qa-unsplash-1-scaled-1-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/09/camilo-jimenez-qzeno_gq7qa-unsplash-1-scaled-1-600x400.b.delayed	(from https://fatfish.ca/en/)
00:47:10	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:10%20GMT	https:////fatfish.ca//wp-content//uploads//2022//11//bulldozer-1920x1440-1-600x450.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/bulldozer-1920x1440-1-600x450.c.delayed	(from https://fatfish.ca/en/)
00:47:15	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:11%20GMT	https:////fatfish.ca//wp-content//uploads//2022//11//technosport-1-600x398.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/technosport-1-600x398.d.delayed	(from https://fatfish.ca/en/)
00:47:19	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:19%20GMT	https:////fatfish.ca//wp-content//uploads//2022//11//2008_0420varennes0015-600x450.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/2008_0420varennes0015-600x450.e.delayed	(from https://fatfish.ca/en/)
00:47:21	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:20%20GMT	https:////fatfish.ca//wp-content//uploads//2022//10//5m-multi-1-600x338.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/10/5m-multi-1-600x338.f.delayed	(from https://fatfish.ca/en/)
00:47:23	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:23%20GMT	https:////fatfish.ca//wp-content//uploads//2022//10//comairco-0108-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/10/comairco-0108-600x400.10.delayed	(from https://fatfish.ca/en/)
00:47:23	0/0	---M--	403	error ('Forbidden')	text/html	date:Tue,%2001%20Aug%202023%2019:17:23%20GMT	https://fatfish.ca/en/projects/?expertise=web	D:/Wenoxo/New%20folder/fishh/fatfish.ca/en/projects/index4d71.html	(from https://fatfish.ca/en/)
00:47:25	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:25%20GMT	https:////fatfish.ca//wp-content//uploads//2022//10//photo-tmk-911-of-1690-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/10/photo-tmk-911-of-1690-600x400.11.delayed	(from https://fatfish.ca/en/)
00:47:27	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:27%20GMT	https:////fatfish.ca//wp-content//uploads//2022//10//image-11-unsplash_of_m3hmsoaa-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/10/image-11-unsplash_of_m3hmsoaa-600x400.12.delayed	(from https://fatfish.ca/en/)
00:47:27	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//09//camilo-jimenez-qzeno_gq7qa-unsplash-1-scaled-1-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/09/camilo-jimenez-qzeno_gq7qa-unsplash-1-scaled-1-600x400.13.delayed	(from https://fatfish.ca/en/)
00:47:29	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:29%20GMT	https:////fatfish.ca//wp-content//uploads//2022//11//ets_planstrategique_2022-2027_pavillond-600x338.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/ets_planstrategique_2022-2027_pavillond-600x338.14.delayed	(from https://fatfish.ca/en/)
00:47:31	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:31%20GMT	https:////fatfish.ca//wp-content//uploads//2022//10//equipe-600x405.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/10/equipe-600x405.15.delayed	(from https://fatfish.ca/en/)
00:47:34	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:33%20GMT	https:////fatfish.ca//wp-content//uploads//2022//12//crystal-kwok-487021-unsplash-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/12/crystal-kwok-487021-unsplash-600x400.16.delayed	(from https://fatfish.ca/en/)
00:47:34	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//11//bulldozer-1920x1440-1-600x450.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/bulldozer-1920x1440-1-600x450.17.delayed	(from https://fatfish.ca/en/)
00:47:36	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:36%20GMT	https:////fatfish.ca//wp-content//uploads//2022//11//b9a76ad4-4172-493b-9656-7deddbbb6ebd-600x312.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/b9a76ad4-4172-493b-9656-7deddbbb6ebd-600x312.18.delayed	(from https://fatfish.ca/en/)
00:47:38	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:38%20GMT	https:////fatfish.ca//wp-content//uploads//2022//11//travaux-de-renovation-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/travaux-de-renovation-600x400.19.delayed	(from https://fatfish.ca/en/)
00:47:40	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:40%20GMT	https:////fatfish.ca//wp-content//uploads//2022//10//ressentir_a_nouveau_bellerose_juillet_2021-600x542.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/10/ressentir_a_nouveau_bellerose_juillet_2021-600x542.1a.delayed	(from https://fatfish.ca/en/)
00:47:43	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:43%20GMT	https:////fatfish.ca//wp-content//uploads//2022//11//complexe_sante_kingsville-10-v2-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/complexe_sante_kingsville-10-v2-600x400.1b.delayed	(from https://fatfish.ca/en/)
00:47:43	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//11//technosport-1-600x398.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/technosport-1-600x398.1c.delayed	(from https://fatfish.ca/en/)
00:47:43	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//11//2008_0420varennes0015-600x450.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/2008_0420varennes0015-600x450.1d.delayed	(from https://fatfish.ca/en/)
00:47:45	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:45%20GMT	https:////fatfish.ca//wp-content//uploads//2022//11//dscn0451-600x450.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/dscn0451-600x450.1e.delayed	(from https://fatfish.ca/en/)
00:47:48	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:47%20GMT	https:////fatfish.ca//wp-content//uploads//2022//11//gallery-1440015799-walk-together-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/gallery-1440015799-walk-together-600x400.1f.delayed	(from https://fatfish.ca/en/)
00:47:48	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//10//5m-multi-1-600x338.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/10/5m-multi-1-600x338.20.delayed	(from https://fatfish.ca/en/)
00:47:50	681/681	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Aug%202023%2019:17:49%20GMT	https:////fatfish.ca//wp-content//uploads//2022//11//ste-catherine-harel-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/ste-catherine-harel-600x400.21.delayed	(from https://fatfish.ca/en/)
00:47:50	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//10//photo-tmk-911-of-1690-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/10/photo-tmk-911-of-1690-600x400.22.delayed	(from https://fatfish.ca/en/)
00:47:50	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//10//image-11-unsplash_of_m3hmsoaa-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/10/image-11-unsplash_of_m3hmsoaa-600x400.23.delayed	(from https://fatfish.ca/en/)
00:47:50	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//11//xl-368ef870-b2cd-4ec9-a01e-fc1c88a9263d-600x338.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/xl-368ef870-b2cd-4ec9-a01e-fc1c88a9263d-600x338.24.delayed	(from https://fatfish.ca/en/)
00:47:50	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//12//crystal-kwok-487021-unsplash-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/12/crystal-kwok-487021-unsplash-600x400.25.delayed	(from https://fatfish.ca/en/)
00:47:50	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//11//bulldozer-1920x1440-1-600x450.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/bulldozer-1920x1440-1-600x450.26.delayed	(from https://fatfish.ca/en/)
00:47:50	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//11//b9a76ad4-4172-493b-9656-7deddbbb6ebd-600x312.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/b9a76ad4-4172-493b-9656-7deddbbb6ebd-600x312.27.delayed	(from https://fatfish.ca/en/)
00:47:50	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//11//travaux-de-renovation-600x400.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/travaux-de-renovation-600x400.28.delayed	(from https://fatfish.ca/en/)
